HT,y,x
70.24,38.577628382710735,-122.41524759086006
70.08,38.577414078549346,-122.41540348815836
69.98,38.57804262686373,-122.41543935414738
69.93,38.577567657934374,-122.41539211575295
69.85,38.57672294070028,-122.41671624318339
69.73,38.57791538728976,-122.41565915416467
69.6,38.57801460617672,-122.41565515746291
69.51,38.5780933193513,-122.41531701116791
69.44,38.57751440250165,-122.41518166223133
69.36,38.57813291861768,-122.4152397092386
69.15,38.577472151549514,-122.41531610911643
68.99,38.57748430535571,-122.41524821007809
68.87,38.577519131403676,-122.41527377078374
67.73,38.57657881683513,-122.41691182739997
67.12,38.57814555836748,-122.41535535266142
66.98,38.577200744966625,-122.41592646574968
64.95,38.57707412582057,-122.41574489483686
64.7,38.5769933355412,-122.4159337828891
64.58,38.577648423940886,-122.41753144529824
64.4,38.577023963430996,-122.41585580678046
64.28,38.576538155620895,-122.41701198455864
64.19,38.57778332786481,-122.41617678685988
63.9,38.576611520457455,-122.41698310425976
63.09,38.57711425566408,-122.41565616516426
62.8,38.577833490625544,-122.41606587406511
62.73,38.577126364717785,-122.41578323599315
62.57,38.5771937599459,-122.41859821544087
62.37,38.577267259584644,-122.4158511921684
62.1,38.57714001944919,-122.4160709891496
62.08,38.57709679767488,-122.41583835416733
61.93,38.577076202288005,-122.41589414798212
61.26,38.57691254498558,-122.41612267049052
61.09,38.57692668315122,-122.41659396250033
60.87,38.5773265273708,-122.4151560454035
60.86,38.577019098380816,-122.41634860615322
60.65,38.577160614920636,-122.41601519534808
60.57,38.57728997655761,-122.41574968191404
60.54,38.57748686810805,-122.41558100550414
60.42,38.57738601303771,-122.4158142597878
60.4,38.57788418371457,-122.41594353194532
60.3,38.5752804869634,-122.42121800519433
60.21,38.57666168381954,-122.41687219383472
60.09,38.5769619927516,-122.41680306339705
59.91,38.57693261004427,-122.41607830588454
59.9,38.5778704837016,-122.41585074723778
59.84,38.57727583513538,-122.41527838727261
59.76,38.57710356252815,-122.4184079153389
59.71,38.57746680320496,-122.41562537059609
59.65,38.57778072143733,-122.41603896141899
59.5,38.57694139692978,-122.41685885678012
59.47,38.57765847986563,-122.41518104288647
59.43,38.576984848820224,-122.41611664718293
59.3,38.57826753817439,-122.41505487109009
59.17,38.57533065400209,-122.42110710015471
59.02,38.57671652784619,-122.41704835880904
58.9,38.57808536377211,-122.41548844923571
58.73,38.576955281636934,-122.41617176509922
58.71,38.57703501144088,-122.41600573550825
58.56,38.57708088508379,-122.41618122520121
58.45,38.57754650392984,-122.41778755502473
58.4,38.57821423837508,-122.41503938819112
58.26,38.577693080684746,-122.4161814586011
58.04,38.57770970238268,-122.41504727116478
58.04,38.57730213059907,-122.41568178314776
58.04,38.57693527311383,-122.41815438708268
57.99,38.57768910732508,-122.4151030657074
57.82,38.577476273907266,-122.41794283034723
57.75,38.57682384968113,-122.41842124628774
57.7,38.577184162373925,-122.4168656745807
57.67,38.57688138649725,-122.41621207534655
57.51,38.57827390217481,-122.41491772019623
57.46,38.5770332822179,-122.41662492980608
57.38,38.57715362797249,-122.41868694329635
57.38,38.57632795103347,-122.41766134403605
57.33,38.57701494640398,-122.41605010019775
57.32,38.57639518631556,-122.41679477544054
57.16,38.577275125017145,-122.41606969579162
57.15,38.57711407356959,-122.4164360425645
57.07,38.57689615346654,-122.41841522530801
56.97,38.580415004754975,-122.42115780004053
56.97,38.576771081130765,-122.41839433243933
56.93,38.575115335500655,-122.42109086918308
56.88,38.577032270449855,-122.41858604700262
56.77,38.57706284960633,-122.41656981204572
56.53,38.5773060048496,-122.41715010900488
56.44,38.57759041873668,-122.41509563407882
56.31,38.57515918520035,-122.42092214483398
56.3,38.57728540884993,-122.41720590252464
56.29,38.577343321178276,-122.41557019500155
56.26,38.57722390143486,-122.41620346587088
56.25,38.57747130245785,-122.41669233052316
56.21,38.58041134270957,-122.42104282897716
56.08,38.57651292542937,-122.4165857352043
55.92,38.57980350567993,-122.42056116493023
55.69,38.577366656811066,-122.41506731505302
55.58,38.577724239221595,-122.41609205275883
55.56,38.57949691407664,-122.4223158012314
55.36,38.58052839464354,-122.42143014804086
55.36,38.575800011595575,-122.41623385023463
55.34,38.57645639650702,-122.41683379268915
55.29,38.57829650897097,-122.4128779074398
55.24,38.58010896309837,-122.42096268415561
55.23,38.576735725209666,-122.41838019954243
55.18,38.57716547863147,-122.41552239481535
55.18,38.576811689015244,-122.41635592211222
54.89,38.576750432581406,-122.41651187331216
54.82,38.57745620815246,-122.41798719466622
54.69,38.579596203491164,-122.42017851753285
54.63,38.5804040182755,-122.42081288684558
54.62,38.577602787486775,-122.41638110097514
54.51,38.57983047395768,-122.42036821807643
54.47,38.576796211766634,-122.41707729916217
54.44,38.5770271120745,-122.41811543081714
54.42,38.573523478704516,-122.41969788699272
54.35,38.577325287626664,-122.4159587836539
54.34,38.57688173137493,-122.41698052079174
54.33,38.57721445537457,-122.41815248413403
54.26,38.576361374879944,-122.41694132383684
54.18,38.57655735364206,-122.41834382201385
54.11,38.57744799905179,-122.41913347917489
54.08,38.576468067081784,-122.41658235640669
54.05,38.57744173499342,-122.4167474485202
54.04,38.577991659069234,-122.41673152723675
54.01,38.58013423049495,-122.42119397815956
54.01,38.579799949165356,-122.42005624317665
53.98,38.58239762848917,-122.41975886414646
53.9,38.57690458843029,-122.41629410552248
53.89,38.57587651321508,-122.4163313622401
53.88,38.576835523759165,-122.41816980938663
53.78,38.57951806026897,-122.4203102593648
53.73,38.57628563366471,-122.41585754643624
53.67,38.57793434627575,-122.41583261881361
53.64,38.57582201398682,-122.41692363396098
53.5,38.574744490822205,-122.41628051073137
53.42,38.579643114662204,-122.4222694793942
53.41,38.576733022343646,-122.41863231202784
53.4,38.57716423649225,-122.41632513095983
53.39,38.574850074643834,-122.41613937044606
53.33,38.57944361815857,-122.41842367478559
53.3,38.57574536330537,-122.42148242428665
53.25,38.5803020906952,-122.42106900043613
53.19,38.57697949850544,-122.41642590625571
53.16,38.57686807882887,-122.41669276876897
53.15,38.57620851084618,-122.41616139699028
53.13,38.577608576365336,-122.41645035139267
53.09,38.576507188963774,-122.4184547310918
52.97,38.573348771854214,-122.41977646859239
52.96,38.57695128767823,-122.41742158067089
52.91,38.576968404989785,-122.41647094653312
52.9,38.5766348649863,-122.41861344691127
52.88,38.57720823416003,-122.41770472461941
52.87,38.577672438990874,-122.41643222355206
52.85,38.57699213849914,-122.4186747746769
52.8,38.575938122901405,-122.41461568241421
52.77,38.57959986648866,-122.42029348734114
52.75,38.57789558708584,-122.41453368953894
52.74,38.575240407065465,-122.42111176587373
52.73,38.58026928045484,-122.42138767195667
52.58,38.57653617340922,-122.4164727973594
52.56,38.57687511248772,-122.41595928594039
52.51,38.57662058660632,-122.41872705999833
52.39,38.57962587763541,-122.41973344877404
52.28,38.577634961072484,-122.42247359337219
52.25,38.57772207151214,-122.4163327402558
52.24,38.58021044843145,-122.42226638455857
52.23,38.575245554163885,-122.42158236910942
52.16,38.5799612782537,-122.42065334481516
52.15,38.57944304878106,-122.42056839976293
52.15,38.5775520939938,-122.41650344227502
52.09,38.57576832268706,-122.41633468252182
52.0,38.57648799214598,-122.41712289468938
51.97,38.58001399203714,-122.42087523803293
51.97,38.576800595533356,-122.41640096230135
51.96,38.57664065259212,-122.41868269640878
51.91,38.579827819559405,-122.420425365004
51.9,38.576179741868415,-122.41503528407466
51.88,38.57724889600717,-122.41760456703281
51.84,38.580020564514555,-122.42189651297917
51.82,38.58063790715776,-122.41849073428939
51.8,38.575610856441926,-122.41487776068853
51.75,38.579630390701574,-122.42060546138657
51.71,38.57839303666116,-122.41312602684486
51.7,38.57656975078744,-122.41730108691897
51.68,38.575471681161915,-122.41651877780471
51.59,38.579704123590965,-122.4192117546037
51.59,38.57511050350503,-122.4213886896647
51.58,38.58028350673921,-122.42146903092163
51.58,38.58028229278941,-122.42013848012338
51.54,38.57762316744333,-122.4149719403743
51.46,38.576672777472275,-122.41682715382464
51.41,38.57663901277691,-122.41677873485838
51.41,38.57627510880257,-122.42190083260421
51.37,38.57950022266563,-122.41991895671296
51.36,38.57950903535907,-122.4205045580648
51.36,38.57558367590622,-122.41604552595108
51.33,38.58007759101338,-122.41989366054217
51.32,38.58035804205883,-122.41908899681663
51.31,38.577254056344806,-122.41807518488191
51.28,38.580423335218235,-122.42155986051266
51.28,38.57714755493,-122.41765427716504
51.28,38.57462940475169,-122.41643240354182
51.25,38.577404151483684,-122.4193022101418
51.24,38.57954816028584,-122.42024371219684
51.21,38.575523673659134,-122.42160333613984
51.16,38.5764933916434,-122.41875188228423
51.16,38.5750340064326,-122.42129117390284
51.12,38.57956180322051,-122.42053147467296
51.09,38.57954389622148,-122.42227346674474
51.09,38.578107135210544,-122.4171531149468
51.08,38.57704884673377,-122.4155136114718
51.07,38.580164276230136,-122.421322407496
51.04,38.576547978875574,-122.41563645714567
51.0,38.58254345448339,-122.41913901531406
51.0,38.57338614797329,-122.42013480468243
50.99,38.580531159160024,-122.42098304541027
50.99,38.57639427214,-122.4183659410625
50.93,38.57683798090678,-122.41675931531223
50.89,38.5760235976851,-122.41471386857417
50.88,38.580115865200376,-122.4208141016816
50.88,38.57945582977202,-122.42203743896734
50.82,38.57640694857166,-122.41615340461935
50.81,38.577129215432606,-122.41921267670008
50.8,38.57704833617054,-122.41765827118643
50.76,38.58011989414293,-122.4215025723557
50.75,38.573336615742015,-122.4198443627205
50.74,38.580338929251404,-122.421438801342
50.74,38.57931334649226,-122.42200375630695
50.73,38.58037360147512,-122.42011095464119
50.7,38.57978777835495,-122.42206247002721
50.69,38.57592278787993,-122.41475215341708
50.67,38.57739094658469,-122.41725972905618
50.63,38.576249517696574,-122.4168296784902
50.59,38.57560282517133,-122.42164370947414
50.58,38.57967047059318,-122.42071170727026
50.58,38.57756308873487,-122.41898158567788
50.55,38.579756577581485,-122.4204085250959
50.54,38.57919766557272,-122.42236205089857
50.53,38.579740265221446,-122.4221162341252
50.53,38.57942312962611,-122.42196615718862
50.53,38.57362620664263,-122.42039373285529
50.4,38.5773836560865,-122.4189680640647
50.38,38.57987740209915,-122.42052085805356
50.38,38.57779920417231,-122.41816213563949
50.38,38.57695961552107,-122.41569039508441
50.37,38.57480375938601,-122.41558538882471
50.33,38.579487004382585,-122.42000971518475
50.32,38.577605293300614,-122.4190421113977
50.31,38.57998012049218,-122.42121676722846
50.28,38.57645512663915,-122.42170796573767
50.27,38.5768511027774,-122.41705849618396
50.27,38.574740247433574,-122.41637193998464
50.2,38.57783694083677,-122.41482747051334
50.19,38.57649467485323,-122.42182563603647
50.18,38.57662708791347,-122.41587179292947
50.16,38.57771836036854,-122.41854599283683
50.12,38.577197188383884,-122.41755479552256
50.11,38.5780526594343,-122.41968368835882
50.06,38.57974138331987,-122.42189840013444
50.06,38.57654804585761,-122.4175747052134
50.04,38.579697805763224,-122.41915393150218
50.01,38.576194626718404,-122.41684848154439
50.0,38.57490691844919,-122.42092606666903
49.92,38.57735896098864,-122.41639714274497
49.92,38.576219850440545,-122.4213461630364
49.91,38.57664918381647,-122.41617164873529
49.88,38.5811980778862,-122.42154946087271
49.82,38.577232296673984,-122.41641054027272
49.78,38.57592070230574,-122.41693106762095
49.77,38.57633821994112,-122.41666432704787
49.74,38.575063273273095,-122.41620130132472
49.73,38.58025988744604,-122.42100847118506
49.71,38.58004169383643,-122.4218292896445
49.7,38.576901310690765,-122.41888584051189
49.7,38.5759549504685,-122.41716302328791
49.69,38.575587696332406,-122.41460076691396
49.67,38.57892742012535,-122.42062128355771
49.66,38.57769277557684,-122.41521803277861
49.63,38.57881296606396,-122.42037180144109
49.63,38.57569584402116,-122.41479240975018
49.63,38.575055081135794,-122.42141891755746
49.6,38.577405513071355,-122.41810953439433
49.59,38.57661320520049,-122.4165588817408
49.58,38.57646816784795,-122.41832563333654
49.55,38.576335715726614,-122.41826977824948
49.54,38.57998336071319,-122.420953214702
49.52,38.577667033270444,-122.41906970218731
49.52,38.57642064847851,-122.41624618743025
49.51,38.578911280895184,-122.41980574955815
49.51,38.57758894826343,-122.41687322820013
49.5,38.57613991995361,-122.41608741810846
49.49,38.57953716092606,-122.42183712348796
49.46,38.57625000137651,-122.41701321643335
49.42,38.579615781121966,-122.42188892917557
49.38,38.57710230930135,-122.41707741946485
49.37,38.57707052408466,-122.41756819099383
49.33,38.57341682962032,-122.41986187591202
49.3,38.577049001497855,-122.41919516282734
49.29,38.57620779558073,-122.4169526930205
49.26,38.576715029128906,-122.41882592772228
49.26,38.576527155458194,-122.41880030197619
49.24,38.576820035280804,-122.41889118495956
49.23,38.57781736266723,-122.41505537836011
49.22,38.57670031979489,-122.41856103440793
49.18,38.58037210520028,-122.42169363153381
49.17,38.57677439247259,-122.41560763234902
49.16,38.57962358159133,-122.4184257666498
49.16,38.577487549849444,-122.41925115005431
49.15,38.580010166222,-122.4213451962879
49.09,38.57465897192736,-122.41637728742165
49.08,38.57667967380989,-122.41667857740977
49.05,38.573728764647775,-122.41973629366395
49.03,38.58040480545067,-122.42176491420211
48.99,38.58004727049765,-122.4188017778085
48.97,38.57819512870813,-122.4131225979254
48.96,38.57948046554183,-122.41879347084492
48.96,38.57678216764104,-122.41621607139722
48.93,38.5779018639387,-122.4147864827919
48.91,38.5791613193085,-122.42023749062908
48.89,38.57939763899273,-122.42251476282816
48.89,38.576251836141815,-122.41813730115169
48.88,38.577621694929874,-122.41888278061776
48.88,38.57372239562955,-122.41987343481892
48.84,38.579512637004385,-122.41887618083054
48.84,38.57627831757735,-122.4177608244594
48.83,38.57959731793378,-122.4199606835217
48.82,38.57773405326446,-122.41471650121368
48.82,38.57721430701723,-122.41660415829277
48.82,38.57695253717432,-122.41875207328586
48.79,38.576337387127495,-122.4157123488131
48.77,38.5803354241406,-122.41880055485383
48.77,38.5774675850404,-122.41890557454379
48.76,38.57683267595126,-122.41687360510218
48.76,38.57628009939809,-122.41694667053011
48.75,38.57675741984632,-122.41597335994737
48.73,38.576647728148544,-122.41562103129404
48.71,38.5776177949331,-122.41760942120659
48.71,38.577195731949374,-122.41913740648373
48.7,38.57978083798785,-122.42046770092614
48.7,38.574116938916795,-122.42068302504182
48.7,38.57340207086858,-122.41979195346066
48.69,38.57776560977931,-122.41520057942385
48.69,38.57738004163043,-122.41865812819934
48.67,38.580266039175335,-122.42165122539663
48.67,38.57650380421248,-122.41930317295656
48.65,38.57879751667826,-122.42089822182189
48.63,38.57571184045074,-122.41638777231013
